body_type,km,ownerno,brand,model,modelyear,price_in_lakh,insurance_validity,fuel_type,seats,transmission,top_features_count,comfort_count,safety_count,mileage,color,displacement,city
Sedan,36349,1,Skoda,Skoda Superb,2014,16.5,Not Available,Diesel,5,Automatic,9,18,18,17.2,White,1968,Bangalore
Hatchback,80000,3,Hyundai,Hyundai i10,2009,2.49,Third Party insurance,Petrol,5,Manual,9,10,11,20.36,Others,1197,Bangalore
SUV,83394,2,Renault,Renault Duster,2014,6.3,Not Available,Petrol,5,Manual,8,11,14,13.24,Red,1598,Bangalore
SUV,30000,2,Audi,Audi Q5,2016,25.99,Third Party insurance,Diesel,5,Automatic,9,24,30,14.16,Others,1968,Bangalore
Hatchback,52204,1,Maruti,Maruti Alto K10,2017,3.85,Third Party insurance,Petrol,5,Manual,9,7,20,24.39,Silver,998,Bangalore
Hatchback,110000,3,Hyundai,Hyundai i20,2012,3.0,Third Party insurance,Petrol,5,Manual,9,14,17,19.095,Red,1197,Bangalore
SUV,89000,1,Ford,Ford Endeavour,2017,29.75,Third Party insurance,Diesel,7,Automatic,9,20,32,10.91,Black,3198,Bangalore
Hatchback,29813,2,Maruti,Maruti Alto 800,2014,2.76,Comprehensive,Petrol,5,Manual,9,6,17,22.05,Others,796,Bangalore
Hatchback,30000,1,Ford,Ford Figo,2018,5.0,Third Party insurance,Petrol,5,Manual,9,15,24,18.16,Gray,1196,Bangalore
Hatchback,13345,1,Maruti,Maruti Ignis,2020,7.3,Comprehensive,Petrol,5,Automatic,9,12,23,20.89,White,1197,Bangalore
SUV,17100,1,Hyundai,Hyundai Alcazar,2022,22.45,Comprehensive,Diesel,7,Automatic,9,29,32,18.1,Grey,1498,Bangalore
Hatchback,75000,1,Hyundai,Hyundai Grand i10,2014,3.99,Comprehensive,Petrol,5,Manual,9,12,17,18.9,Grey,1197,Bangalore
Hatchback,75523,2,Hyundai,Hyundai i10,2011,3.12,Comprehensive,Petrol,5,Manual,9,10,11,20.36,Red,1197,Bangalore
SUV,47000,1,Mahindra,Mahindra XUV500,2015,12.75,Comprehensive,Diesel,7,Manual,9,23,30,19.095,Silver,2179,Bangalore
SUV,36500,1,Tata,Tata Harrier,2022,19.9,Comprehensive,Diesel,5,Manual,9,15,22,16.35,White,1956,Bangalore
MUV,28253,1,Renault,Renault Triber,2020,7.19,Comprehensive,Petrol,7,Manual,9,16,20,19.095,Silver,999,Bangalore
SUV,50000,1,Hyundai,Hyundai Creta,2016,12.6,Third Party insurance,Diesel,5,Manual,9,23,24,19.67,White,1582,Bangalore
Hatchback,90000,2,Hyundai,Hyundai i10,2010,3.0,Third Party insurance,Petrol,5,Manual,8,10,10,20.36,Others,1197,Bangalore
SUV,70000,2,BMW,BMW X5,2016,39.81,Third Party insurance,Diesel,5,Automatic,9,26,34,15.97,Others,2993,Bangalore
Hatchback,52571,1,Hyundai,Hyundai i20,2016,6.27,Comprehensive,Petrol,5,Manual,9,17,24,18.6,Grey,1197,Bangalore
Sedan,70000,2,BMW,BMW 3 Series,2010,13.0,Third Party insurance,Diesel,5,Automatic,9,20,25,16.07,Others,1995,Bangalore
Sedan,61993,1,Honda,Honda City,2015,6.72,Comprehensive,Petrol,5,Manual,9,17,23,17.4,Silver,1497,Bangalore
SUV,57000,1,Hyundai,Hyundai Tucson,2017,18.25,Comprehensive,Diesel,5,Automatic,9,31,34,16.38,White,1995,Bangalore
SUV,80000,2,Toyota,Toyota Fortuner,2021,35.0,Third Party insurance,Diesel,7,Manual,9,31,35,14.24,Others,2755,Bangalore
Hatchback,36359,1,Hyundai,Hyundai i20,2013,4.4,Comprehensive,Petrol,5,Manual,9,10,19,18.5,Blue,1197,Bangalore
SUV,70000,2,Tata,Tata Harrier,2019,14.6,Third Party insurance,Diesel,5,Manual,9,25,35,19.095,Others,1956,Bangalore
SUV,7500,1,MG,MG Hector,2022,20.41,Comprehensive,Petrol,5,Automatic,9,28,32,19.095,White,1451,Bangalore
Sedan,30301,1,Hyundai,Hyundai Verna,2017,10.33,Comprehensive,Petrol,5,Automatic,9,26,31,19.095,Black,1591,Bangalore
Hatchback,66000,1,Hyundai,Hyundai i10,2010,2.75,Comprehensive,Petrol,5,Manual,9,10,11,20.36,Golden,1197,Bangalore
Hatchback,56010,1,Hyundai,Hyundai i20,2017,6.76,Comprehensive,Petrol,5,Manual,9,14,21,18.6,White,1197,Bangalore
SUV,47000,1,Mercedes-Benz,Mercedes-Benz GLC,2017,42.9,Comprehensive,Diesel,5,Automatic,9,30,32,17.9,White,2143,Bangalore
